Year,Variable,Unit,Commodity,Primary weight,Loss from primary to retail weight,Retail weight,Loss from retail/institutional to consumer level,Consumer weight,Nonedible share,Edible weight,Other (cooking loss and uneaten food),"Total loss, all levels",Per capita availability (lbs/year),Per capita availability (oz/day),Per capita availability (g/day),Calories per fat gram,Daily fat grams,Calories available daily 
1970,Added fats and oils,Pounds,Butter,5.365702358,0,5.365702358,7,4.990103193,0,4.990103193,35,39.55,3.243567076,0.142183762,4.030838567,9,3.224670854,29.02203768
1971,Added fats and oils,Pounds,Butter,5.145983117,0,5.145983117,7,4.785764299,0,4.785764299,35,39.55,3.110746794,0.136361503,3.865780438,9,3.09262435,27.83361915
1972,Added fats and oils,Pounds,Butter,4.951437855,0,4.951437855,7,4.604837205,0,4.604837205,35,39.55,2.993144183,0.13120632,3.719633579,9,2.975706863,26.78136177
1973,Added fats and oils,Pounds,Butter,4.807294641,0,4.807294641,7,4.470784016,0,4.470784016,35,39.55,2.90600961,0.127386723,3.611349894,9,2.889079915,26.00171923
1974,Added fats and oils,Pounds,Butter,4.460407568,0,4.460407568,7,4.148179038,0,4.148179038,35,39.55,2.696316375,0.11819469,3.350760375,9,2.6806083,24.1254747
1975,Added fats and oils,Pounds,Butter,4.728192876,0,4.728192876,7,4.397219375,0,4.397219375,35,39.55,2.858192594,0.125290634,3.551926835,9,2.841541468,25.57387321
1976,Added fats and oils,Pounds,Butter,4.313202009,0,4.313202009,7,4.011277868,0,4.011277868,35,39.55,2.607330614,0.114293945,3.240176186,9,2.592140949,23.32926854
1977,Added fats and oils,Pounds,Butter,4.294180413,0,4.294180413,7,3.993587784,0,3.993587784,35,39.55,2.59583206,0.113789899,3.225886728,9,2.580709382,23.22638444
1978,Added fats and oils,Pounds,Butter,4.354592628,0,4.354592628,7,4.049771144,0,4.049771144,35,39.55,2.632351243,0.115390739,3.271269768,9,2.617015814,23.55314233
1979,Added fats and oils,Pounds,Butter,4.491231032,0,4.491231032,7,4.17684486,0,4.17684486,35,39.55,2.714949159,0.11901147,3.373915668,9,2.699132535,24.29219281
1980,Added fats and oils,Pounds,Butter,4.4675092,0,4.4675092,7,4.154783556,0,4.154783556,35,39.55,2.700609311,0.118382874,3.356095284,9,2.684876227,24.16388605
1981,Added fats and oils,Pounds,Butter,4.238243914,0,4.238243914,7,3.94156684,0,3.94156684,35,39.55,2.562018446,0.112307658,3.183865948,9,2.547092758,22.92383483
1982,Added fats and oils,Pounds,Butter,4.351327373,0,4.351327373,7,4.046734457,0,4.046734457,35,39.55,2.630377397,0.115304215,3.268816833,9,2.615053467,23.5354812
1983,Added fats and oils,Pounds,Butter,4.906797492,0,4.906797492,7,4.563321668,0,4.563321668,35,39.55,2.966159084,0.130023412,3.686098716,9,2.948878973,26.53991075
1984,Added fats and oils,Pounds,Butter,4.976297663,0,4.976297663,7,4.627956826,0,4.627956826,35,39.55,3.008171937,0.131865071,3.738308836,9,2.990647069,26.91582362
1985,Added fats and oils,Pounds,Butter,4.87209078,0,4.87209078,7,4.531044426,0,4.531044426,35,39.55,2.945178877,0.129103732,3.660026238,9,2.928020991,26.35218892
1986,Added fats and oils,Pounds,Butter,4.83248771,0,4.83248771,7,4.494213571,0,4.494213571,35,39.55,2.921238821,0.128054304,3.630275505,9,2.904220404,26.13798363
1987,Added fats and oils,Pounds,Butter,4.435206998,0,4.435206998,7,4.124742508,0,4.124742508,35,39.55,2.68108263,0.11752691,3.33182913,9,2.665463304,23.98916974
1988,Added fats and oils,Pounds,Butter,4.485595112,0,4.485595112,7,4.171603454,0,4.171603454,35,39.55,2.711542245,0.118862126,3.369681836,9,2.695745469,24.26170922
1989,Added fats and oils,Pounds,Butter,4.430606205,0,4.430606205,7,4.120463771,0,4.120463771,35,39.55,2.678301451,0.117404995,3.328372909,9,2.662698327,23.96428494
1990,Added fats and oils,Pounds,Butter,4.307093854,0,4.307093854,7,4.005597285,0,4.005597285,35,39.55,2.603638235,0.114132087,3.235587601,9,2.588470081,23.29623073
1991,Added fats and oils,Pounds,Butter,4.376594225,0,4.376594225,7,4.07023263,0,4.07023263,35,39.55,2.645651209,0.115973752,3.287797872,9,2.630238298,23.67214468
1992,Added fats and oils,Pounds,Butter,4.324157045,0,4.324157045,7,4.021466052,0,4.021466052,35,39.55,2.613952934,0.114584238,3.248405861,9,2.598724689,23.3885222
1993,Added fats and oils,Pounds,Butter,4.654112313,0,4.654112313,7,4.328324451,0,4.328324451,35,39.55,2.813410893,0.123327601,3.496275819,9,2.797020655,25.1731859
1994,Added fats and oils,Pounds,Butter,4.730370944,0,4.730370944,7,4.399244978,0,4.399244978,35,39.55,2.859509236,0.12534835,3.55356305,9,2.84285044,25.58565396
1995,Added fats and oils,Pounds,Butter,4.610306859,0,4.610306859,7,4.287585379,0,4.287585379,35,39.55,2.786930496,0.122166816,3.463368158,9,2.770694526,24.93625074
1996,Added fats and oils,Pounds,Butter,4.293474099,0,4.293474099,7,3.992930912,0,3.992930912,35,39.55,2.595405093,0.113771182,3.225356129,9,2.580284903,23.22256413
1997,Added fats and oils,Pounds,Butter,4.187137875,0,4.187137875,7,3.894038223,0,3.894038223,35,39.55,2.531124845,0.110953418,3.14547392,9,2.516379136,22.64741222
1998,Added fats and oils,Pounds,Butter,4.337769509,0,4.337769509,7,4.034125644,0,4.034125644,35,39.55,2.622181668,0.11494495,3.258631856,9,2.606905485,23.46214936
1999,Added fats and oils,Pounds,Butter,4.61497379,0,4.61497379,7,4.291925625,0,4.291925625,35,39.55,2.789751656,0.122290484,3.466874063,9,2.773499251,24.96149326
2000,Added fats and oils,Pounds,Butter,4.466170349,0,4.466170349,7,4.153538425,0,4.153538425,35,39.55,2.699799976,0.118347396,3.355089509,9,2.684071607,24.15664447
2001,Added fats and oils,Pounds,Butter,4.343024576,0,4.343024576,7,4.039012855,0,4.039012855,35,39.55,2.625358356,0.115084202,3.262579582,9,2.610063666,23.49057299
2002,Added fats and oils,Pounds,Butter,4.397573535,0,4.397573535,7,4.089743388,0,4.089743388,35,39.55,2.658333202,0.116529675,3.303558011,9,2.642846408,23.78561768
2003,Added fats and oils,Pounds,Butter,4.453272554,0,4.453272554,7,4.141543475,0,4.141543475,35,39.55,2.692003259,0.118005622,3.345400389,9,2.676320311,24.0868828
2004,Added fats and oils,Pounds,Butter,4.494175366,0,4.494175366,7,4.17958309,0,4.17958309,35,39.55,2.716729009,0.119089491,3.376127519,9,2.700902015,24.30811814
2005,Added fats and oils,Pounds,Butter,4.513320574,0,4.513320574,7,4.197388134,0,4.197388134,35,39.55,2.728302287,0.119596813,3.390509838,9,2.71240787,24.41167083
2006,Added fats and oils,Pounds,Butter,4.664971432,0,4.664971432,7,4.338423432,0,4.338423432,35,39.55,2.819975231,0.123615353,3.504433438,9,2.80354675,25.23192075
2007,Added fats and oils,Pounds,Butter,4.683704329,0,4.683704329,7,4.355845026,0,4.355845026,35,39.55,2.831299267,0.124111749,3.518506019,9,2.814804816,25.33324334
2008,Added fats and oils,Pounds,Butter,4.973427441,0,4.973427441,7,4.62528752,0,4.62528752,35,39.55,3.006436888,0.131789014,3.73615266,9,2.988922128,26.90029915
2009,Added fats and oils,Pounds,Butter,4.951093167,0,4.951093167,7,4.604516646,0,4.604516646,35,39.55,2.99293582,0.131197187,3.719374642,9,2.975499713,26.77949742
2010,Added fats and oils,Pounds,Butter,4.91170682,0,4.91170682,7,4.567887342,0,4.567887342,35,39.55,2.969126772,0.130153502,3.689786715,9,2.951829372,26.56646435
2011,Added fats and oils,Pounds,Butter,5.370211583,0,5.370211583,7,4.994296772,0,4.994296772,35,39.55,3.246292902,0.142303251,4.034226,9,3.2273808,29.0464272
2012,Added fats and oils,Pounds,Butter,5.503056816,0,5.503056816,7,5.117842839,0,5.117842839,35,39.55,3.326597845,0.145823467,4.134022383,9,3.307217906,29.76496116
2013,Added fats and oils,Pounds,Butter,5.471512693,0,5.471512693,7,5.088506804,0,5.088506804,35,39.55,3.307529423,0.144987591,4.110325715,9,3.288260572,29.59434515
2014,Added fats and oils,Pounds,Butter,5.497283521,0,5.497283521,7,5.112473674,0,5.112473674,35,39.55,3.323107888,0.145670483,4.129685351,9,3.303748281,29.73373453
2015,Added fats and oils,Pounds,Butter,5.6060147,0,5.6060147,7,5.213593671,0,5.213593671,35,39.55,3.388835886,0.14855171,4.211366705,9,3.369093364,30.32184027
2016,Added fats and oils,Pounds,Butter,5.701418453,0,5.701418453,7,5.302319161,0,5.302319161,35,39.55,3.446507455,0.151079779,4.28303619,9,3.426428952,30.83786057
1970,Added fats and oils,Pounds,Margarine,10.84115249,0,10.84115249,7,10.08227181,0,10.08227181,35,39.55,6.553476679,0.28727569,8.144122175,9,6.51529774,58.63767966
1971,Added fats and oils,Pounds,Margarine,10.91201526,0,10.91201526,7,10.14817419,0,10.14817419,35,39.55,6.596313222,0.289153456,8.19735591,9,6.506807003,58.56126303
1972,Added fats and oils,Pounds,Margarine,11.14361398,0,11.14361398,7,10.363561,0,10.363561,35,39.55,6.736314651,0.295290505,8.371338179,9,6.592746927,59.33472234
1973,Added fats and oils,Pounds,Margarine,11.10854187,0,11.10854187,7,10.33094394,0,10.33094394,35,39.55,6.715113563,0.294361142,8.344991209,9,6.520000046,58.68000042
1974,Added fats and oils,Pounds,Margarine,11.12908807,0,11.12908807,7,10.3500519,0,10.3500519,35,39.55,6.727533738,0.294905589,8.360425982,9,6.479965528,58.31968975
1975,Added fats and oils,Pounds,Margarine,11.05004329,0,11.05004329,7,10.27654026,0,10.27654026,35,39.55,6.67975117,0.29281101,8.301045734,9,6.382217507,57.43995756
1976,Added fats and oils,Pounds,Margarine,11.93661568,0,11.93661568,7,11.10105258,0,11.10105258,35,39.55,7.215684179,0.316303964,8.967059228,9,6.838404906,61.54564415
1977,Added fats and oils,Pounds,Margarine,11.36174792,0,11.36174792,7,10.56642556,0,10.56642556,35,39.55,6.868176617,0.301070756,8.535205392,9,6.455858655,58.10272789
1978,Added fats and oils,Pounds,Margarine,11.26463598,0,11.26463598,7,10.47611146,0,10.47611146,35,39.55,6.809472451,0.298497423,8.462252679,9,6.347975772,57.13178195
1979,Added fats and oils,Pounds,Margarine,11.1829375,0,11.1829375,7,10.40013188,0,10.40013188,35,39.55,6.760085721,0.296332525,8.400878911,9,6.24959024,56.24631216
1980,Added fats and oils,Pounds,Margarine,11.3077119,0,11.3077119,7,10.51617207,0,10.51617207,35,39.55,6.835511843,0.299638875,8.494612296,9,6.266390544,56.3975149
1981,Added fats and oils,Pounds,Margarine,11.11922632,0,11.11922632,7,10.34088048,0,10.34088048,35,39.55,6.721572311,0.294644266,8.35301761,9,6.109889908,54.98900917
1982,Added fats and oils,Pounds,Margarine,11.04129843,0,11.04129843,7,10.26840754,0,10.26840754,35,39.55,6.674464901,0.292579283,8.294476393,9,6.015386526,54.13847873
1983,Added fats and oils,Pounds,Margarine,10.37750046,0,10.37750046,7,9.651075427,0,9.651075427,35,39.55,6.273199027,0.274989546,7.795816146,9,5.605168421,50.44651579
1984,Added fats and oils,Pounds,Margarine,10.39216748,0,10.39216748,7,9.664715758,0,9.664715758,35,39.55,6.282065243,0.275378202,7.80683435,9,5.564446092,50.08001483
1985,Added fats and oils,Pounds,Margarine,10.79156777,0,10.79156777,7,10.03615803,0,10.03615803,35,39.55,6.523502717,0.285961763,8.106872999,9,5.727789514,51.55010563
1986,Added fats and oils,Pounds,Margarine,11.41368205,0,11.41368205,7,10.61472431,0,10.61472431,35,39.55,6.899570802,0.302446939,8.574219504,9,6.004560216,54.04104194
1987,Added fats and oils,Pounds,Margarine,10.50742574,0,10.50742574,7,9.771905941,0,9.771905941,35,39.55,6.351738861,0.278432388,7.893418996,9,5.478609003,49.30748103
1988,Added fats and oils,Pounds,Margarine,10.3182013,0,10.3182013,7,9.595927206,0,9.595927206,35,39.55,6.237352684,0.2734182,7.751269257,9,5.331648548,47.98483693
1989,Added fats and oils,Pounds,Margarine,10.1582213,0,10.1582213,7,9.447145811,0,9.447145811,35,39.55,6.140644777,0.269178949,7.631088618,9,5.201433944,46.8129055
1990,Added fats and oils,Pounds,Margarine,10.85958777,0,10.85958777,7,10.09941662,0,10.09941662,35,39.55,6.564620804,0.2877642,8.157971178,9,5.509730574,49.58757517
1991,Added fats and oils,Pounds,Margarine,10.53879673,0,10.53879673,7,9.801080957,0,9.801080957,35,39.55,6.370702622,0.279263677,7.916985599,9,5.297642997,47.67878697
1992,Added fats and oils,Pounds,Margarine,10.9128333,0,10.9128333,7,10.14893497,0,10.14893497,35,39.55,6.59680773,0.289175133,8.197970443,9,5.434516587,48.91064928
1993,Added fats and oils,Pounds,Margarine,11.02357695,0,11.02357695,7,10.25192656,0,10.25192656,35,39.55,6.663752265,0.292109688,8.281163609,9,5.438132487,48.94319238
1994,Added fats and oils,Pounds,Margarine,9.843979456,0,9.843979456,7,9.154900894,0,9.154900894,35,39.55,5.950685581,0.260851971,7.395022943,9,4.810137043,43.29123339
1995,Added fats and oils,Pounds,Margarine,9.082314604,0,9.082314604,7,8.446552582,0,8.446552582,35,39.55,5.490259178,0.240668895,6.822842853,9,4.395445937,39.55901343
1996,Added fats and oils,Pounds,Margarine,9.019323033,0,9.019323033,7,8.387970421,0,8.387970421,35,39.55,5.452180774,0.238999705,6.775522141,9,4.322783126,38.90504813
1997,Added fats and oils,Pounds,Margarine,8.435210667,0,8.435210667,7,7.844745921,0,7.844745921,35,39.55,5.099084848,0.223521528,6.336723547,9,3.982630749,35.84367674
1998,Added fats and oils,Pounds,Margarine,8.17505719,0,8.17505719,7,7.602803187,0,7.602803187,35,39.55,4.941822071,0.216627817,6.141290293,9,3.801458691,34.21312822
1999,Added fats and oils,Pounds,Margarine,7.892959667,0,7.892959667,7,7.34045249,0,7.34045249,35,39.55,4.771294118,0.209152619,5.929372169,9,3.613952337,32.52557103
2000,Added fats and oils,Pounds,Margarine,8.212756601,0,8.212756601,7,7.637863639,0,7.637863639,35,39.55,4.964611365,0.2176268,6.169610955,9,3.701766573,33.31589916
2001,Added fats and oils,Pounds,Margarine,6.971396071,0,6.971396071,7,6.483398346,0,6.483398346,35,39.55,4.214208925,0.184732446,5.237072479,9,3.142243487,28.28019138
2002,Added fats and oils,Pounds,Margarine,6.5138633,0,6.5138633,7,6.057892869,0,6.057892869,35,39.55,3.937630365,0.172608454,4.893363377,9,2.936018026,26.42416224
2003,Added fats and oils,Pounds,Margarine,5.253299981,0,5.253299981,7,4.885568982,0,4.885568982,35,39.55,3.175619838,0.139205253,3.946399325,9,2.367839595,21.31055636
2004,Added fats and oils,Pounds,Margarine,5.232951286,0,5.232951286,7,4.866644696,0,4.866644696,35,39.55,3.163319052,0.138666041,3.931112919,9,2.358667752,21.22800976
2005,Added fats and oils,Pounds,Margarine,4.006009605,0,4.006009605,7,3.725588932,0,3.725588932,35,39.55,2.421632806,0.106153767,3.009406213,9,1.805643728,16.25079355
2006,Added fats and oils,Pounds,Margarine,4.57152343,0,4.57152343,7,4.25151679,0,4.25151679,35,39.55,2.763485914,0.121139109,3.434233158,9,2.060539895,18.54485905
2007,Added fats and oils,Pounds,Margarine,4.519877302,0,4.519877302,7,4.203485891,0,4.203485891,35,39.55,2.732265829,0.119770557,3.395435403,9,2.037261242,18.33535118
2008,Added fats and oils,Pounds,Margarine,4.187891849,0,4.187891849,7,3.89473942,0,3.89473942,35,39.55,2.531580623,0.110973397,3.146040323,9,1.887624194,16.98861774
2009,Added fats and oils,Pounds,Margarine,3.655083773,0,3.655083773,7,3.399227909,0,3.399227909,35,39.55,2.209498141,0.096854713,2.745782687,9,1.647469612,14.82722651
2010,Added fats and oils,Pounds,Margarine,3.537767146,0,3.537767146,7,3.290123446,0,3.290123446,35,39.55,2.13858024,0.093745983,2.657651748,9,1.594591049,14.35131944
1970,Added fats and oils,Pounds,Lard,4.475186782,0,4.475186782,50,2.237593391,0,2.237593391,35,67.5,1.454435704,0.063756086,1.80745315,9,1.80745315,16.26707835
1971,Added fats and oils,Pounds,Lard,4.052518287,0,4.052518287,50,2.026259144,0,2.026259144,35,67.5,1.317068443,0.057734507,1.636744409,9,1.636744409,14.73069968
1972,Added fats and oils,Pounds,Lard,3.452452643,0,3.452452643,50,1.726226322,0,1.726226322,35,67.5,1.122047109,0.049185627,1.394387924,9,1.394387924,12.54949132
1973,Added fats and oils,Pounds,Lard,3.220509747,0,3.220509747,50,1.610254874,0,1.610254874,35,67.5,1.046665668,0.045881235,1.300710065,9,1.300710065,11.70639058
1974,Added fats and oils,Pounds,Lard,3.020546728,0,3.020546728,50,1.510273364,0,1.510273364,35,67.5,0.981677687,0.043032447,1.219948343,9,1.219948343,10.97953509
1975,Added fats and oils,Pounds,Lard,3.032360527,0,3.032360527,50,1.516180263,0,1.516180263,35,67.5,0.985517171,0.043200753,1.224719739,9,1.224719739,11.02247765
1976,Added fats and oils,Pounds,Lard,2.735803885,0,2.735803885,50,1.367901942,0,1.367901942,35,67.5,0.889136263,0.038975836,1.104945467,9,1.104945467,9.944509206
1977,Added fats and oils,Pounds,Lard,2.327707627,0,2.327707627,50,1.163853813,0,1.163853813,35,67.5,0.756504979,0.033161862,0.940122209,9,0.940122209,8.461099881
1978,Added fats and oils,Pounds,Lard,2.180250241,0,2.180250241,50,1.090125121,0,1.090125121,35,67.5,0.708581328,0.031061099,0.880566635,9,0.880566635,7.925099719
1979,Added fats and oils,Pounds,Lard,2.281006865,0,2.281006865,50,1.140503432,0,1.140503432,35,67.5,0.741327231,0.032496536,0.921260552,9,0.921260552,8.291344966
1980,Added fats and oils,Pounds,Lard,2.342718881,0,2.342718881,50,1.171359441,0,1.171359441,35,67.5,0.761383636,0.033375721,0.946185004,9,0.946185004,8.515665035
1981,Added fats and oils,Pounds,Lard,2.220793509,0,2.220793509,50,1.110396754,0,1.110396754,35,67.5,0.72175789,0.031638702,0.896941383,9,0.896941383,8.072472451
1982,Added fats and oils,Pounds,Lard,2.309021138,0,2.309021138,50,1.154510569,0,1.154510569,35,67.5,0.75043187,0.032895644,0.932575049,9,0.932575049,8.393175437
1983,Added fats and oils,Pounds,Lard,1.71136159,0,1.71136159,50,0.855680795,0,0.855680795,35,67.5,0.556192517,0.024381042,0.691190345,9,0.691190345,6.220713107
1984,Added fats and oils,Pounds,Lard,1.870237954,0,1.870237954,50,0.935118977,0,0.935118977,35,67.5,0.607827335,0.026644486,0.755357854,9,0.755357854,6.798220683
1985,Added fats and oils,Pounds,Lard,1.58165944,0,1.58165944,50,0.79082972,0,0.79082972,35,67.5,0.514039318,0.02253323,0.638805815,9,0.638805815,5.749252331
1986,Added fats and oils,Pounds,Lard,1.533473786,0,1.533473786,50,0.766736893,0,0.766736893,35,67.5,0.49837898,0.02184675,0.619344434,9,0.619344434,5.574099907
1987,Added fats and oils,Pounds,Lard,1.560081383,0,1.560081383,50,0.780040691,0,0.780040691,35,67.5,0.507026449,0.022225817,0.630090798,9,0.630090798,5.67081718
1988,Added fats and oils,Pounds,Lard,1.487896956,0,1.487896956,50,0.743948478,0,0.743948478,35,67.5,0.483566511,0.021197436,0.600936714,9,0.600936714,5.408430428
1989,Added fats and oils,Pounds,Lard,1.187450323,0,1.187450323,50,0.593725161,0,0.593725161,35,67.5,0.385921355,0.0169171,0.47959134,9,0.47959134,4.316322064
1990,Added fats and oils,Pounds,Lard,0.900394692,0,0.900394692,50,0.450197346,0,0.450197346,35,67.5,0.292628275,0.012827541,0.363654368,9,0.363654368,3.272889314
1991,Added fats and oils,Pounds,Lard,0.689293176,0,0.689293176,50,0.344646588,0,0.344646588,35,67.5,0.224020282,0.009820067,0.278393994,9,0.278393994,2.505545946
1992,Added fats and oils,Pounds,Lard,0.407504593,0,0.407504593,50,0.203752297,0,0.203752297,35,67.5,0.132438993,0.005805545,0.164584295,9,0.164584295,1.481258654
1993,Added fats and oils,Pounds,Lard,0.364792784,0,0.364792784,50,0.182396392,0,0.182396392,35,67.5,0.118557655,0.005197048,0.147333709,9,0.147333709,1.32600338
1994,Added fats and oils,Pounds,Lard,0.687307175,0,0.687307175,50,0.343653587,0,0.343653587,35,67.5,0.223374832,0.009791773,0.277591881,9,0.277591881,2.498326932
1995,Added fats and oils,Pounds,Lard,0.389089132,0,0.389089132,50,0.194544566,0,0.194544566,35,67.5,0.126453968,0.005543188,0.157146598,9,0.157146598,1.414319382
1996,Added fats and oils,Pounds,Lard,0.556036035,0,0.556036035,50,0.278018017,0,0.278018017,35,67.5,0.180711711,0.007921609,0.224573662,9,0.224573662,2.021162956
1997,Added fats and oils,Pounds,Lard,0.761336814,0,0.761336814,50,0.380668407,0,0.380668407,35,67.5,0.247434465,0.010846442,0.307491215,9,0.307491215,2.767420939
1998,Added fats and oils,Pounds,Lard,0.702846271,0,0.702846271,50,0.351423136,0,0.351423136,35,67.5,0.228425038,0.010013152,0.283867863,9,0.283867863,2.554810765
1999,Added fats and oils,Pounds,Lard,0.664199164,0,0.664199164,50,0.332099582,0,0.332099582,35,67.5,0.215864728,0.009462563,0.268258942,9,0.268258942,2.414330477
2000,Added fats and oils,Pounds,Lard,0.782709958,0,0.782709958,50,0.391354979,0,0.391354979,35,67.5,0.254380736,0.011150936,0.316123471,9,0.316123471,2.84511124
2001,Added fats and oils,Pounds,Lard,1.140777266,0,1.140777266,50,0.570388633,0,0.570388633,35,67.5,0.370752612,0.016252169,0.460740873,9,0.460740873,4.146667855
2002,Added fats and oils,Pounds,Lard,1.285356397,0,1.285356397,50,0.642678199,0,0.642678199,35,67.5,0.417740829,0.018311927,0.519133967,9,0.519133967,4.672205707
2003,Added fats and oils,Pounds,Lard,1.267168967,0,1.267168967,50,0.633584484,0,0.633584484,35,67.5,0.411829914,0.018052818,0.511788368,9,0.511788368,4.606095316
2004,Added fats and oils,Pounds,Lard,0.750313587,0,0.750313587,50,0.375156794,0,0.375156794,35,67.5,0.243851916,0.010689399,0.303039118,9,0.303039118,2.727352066
2005,Added fats and oils,Pounds,Lard,1.552208194,0,1.552208194,50,0.776104097,0,0.776104097,35,67.5,0.504467663,0.022113651,0.626910949,9,0.626910949,5.642198538
2006,Added fats and oils,Pounds,Lard,1.6676596,0,1.6676596,50,0.8338298,0,0.8338298,35,67.5,0.54198937,0.023758438,0.673539842,9,0.673539842,6.061858579
2007,Added fats and oils,Pounds,Lard,1.611610841,0,1.611610841,50,0.805805421,0,0.805805421,35,67.5,0.523773523,0.022959935,0.650902685,9,0.650902685,5.858124165
2008,Added fats and oils,Pounds,Lard,1.041457613,0,1.041457613,50,0.520728806,0,0.520728806,35,67.5,0.338473724,0.014837204,0.420627325,9,0.420627325,3.785645922
2009,Added fats and oils,Pounds,Lard,1.456134842,0,1.456134842,50,0.728067421,0,0.728067421,35,67.5,0.473243824,0.020744935,0.588108527,9,0.588108527,5.292976745
2010,Added fats and oils,Pounds,Lard,1.548789168,0,1.548789168,50,0.774394584,0,0.774394584,35,67.5,0.50335648,0.022064942,0.625530061,9,0.625530061,5.62977055
1970,Added fats and oils,Pounds,Edible beef tallow,,,,,,,,,,,,,,,
1971,Added fats and oils,Pounds,Edible beef tallow,,,,,,,,,,,,,,,
1972,Added fats and oils,Pounds,Edible beef tallow,,,,,,,,,,,,,,,
1973,Added fats and oils,Pounds,Edible beef tallow,,,,,,,,,,,,,,,
1974,Added fats and oils,Pounds,Edible beef tallow,,,,,,,,,,,,,,,
1975,Added fats and oils,Pounds,Edible beef tallow,,,,,,,,,,,,,,,
1976,Added fats and oils,Pounds,Edible beef tallow,,,,,,,,,,,,,,,
1977,Added fats and oils,Pounds,Edible beef tallow,,,,,,,,,,,,,,,
1978,Added fats and oils,Pounds,Edible beef tallow,,,,,,,,,,,,,,,
1979,Added fats and oils,Pounds,Edible beef tallow,0.387905179,0,0.387905179,50,0.193952589,0,0.193952589,35,67.5,0.126069183,0.00552632,0.156668419,9,0.156668419,1.41001577
1980,Added fats and oils,Pounds,Edible beef tallow,1.056532851,0,1.056532851,50,0.528266425,0,0.528266425,35,67.5,0.343373177,0.015051975,0.426715961,9,0.426715961,3.840443652
1981,Added fats and oils,Pounds,Edible beef tallow,0.972317647,0,0.972317647,50,0.486158823,0,0.486158823,35,67.5,0.316003235,0.013852197,0.392702848,9,0.392702848,3.534325631
1982,Added fats and oils,Pounds,Edible beef tallow,1.346370183,0,1.346370183,50,0.673185091,0,0.673185091,35,67.5,0.437570309,0.019181164,0.543776416,9,0.543776416,4.893987743
1983,Added fats and oils,Pounds,Edible beef tallow,2.138241709,0,2.138241709,50,1.069120854,0,1.069120854,35,67.5,0.694928555,0.030462622,0.863600091,9,0.863600091,7.77240082
1984,Added fats and oils,Pounds,Edible beef tallow,1.769111649,0,1.769111649,50,0.884555824,0,0.884555824,35,67.5,0.574961286,0.025203782,0.714514629,9,0.714514629,6.430631661
